"","To.OriginalRow","From.OriginalRow","km","To.xcord","To.ycord","From.xcord","From.ycord","BetaSim","Sorenson","MNTD"
"17",2929,2,13716.038412716,-4486282.1083801,5858047.84807365,-2286282.1083801,8710047.84807365,0.0542810195842561,1,3.27057070744514
"18",2929,3,4511.14073937462,-4486282.1083801,5858047.84807365,-2186282.1083801,8710047.84807365,0.0542810195842561,1,3.27057070744514
"19",2929,4,4815.92591558675,-4486282.1083801,5858047.84807365,-2086282.1083801,8710047.84807365,0.0542810195842561,1,3.27057070744514
"20",2929,5,4511.1407393802,-4486282.1083801,5858047.84807365,-1986282.1083801,8710047.84807365,0.0542810195842561,1,3.27057070744514
"21",2931,1,9256.01061579133,-4286282.1083801,5858047.84807365,-2386282.1083801,8710047.84807365,0.0542810195842561,1,3.33810377621681
"22",2931,2,7131.25964352123,-4286282.1083801,5858047.84807365,-2286282.1083801,8710047.84807365,0.0542810195842561,1,3.33810377621681
"23",2931,3,15244.2015155611,-4286282.1083801,5858047.84807365,-2186282.1083801,8710047.84807365,0.0542810195842561,1,3.33810377621681
"24",2931,4,12988.2126952047,-4286282.1083801,5858047.84807365,-2086282.1083801,8710047.84807365,0.0542810195842561,1,3.33810377621681
"25",2931,5,15244.2015154795,-4286282.1083801,5858047.84807365,-1986282.1083801,8710047.84807365,0.0542810195842561,1,3.33810377621681
"26",3102,1,13158.5810047525,-4186282.1083801,5734047.84807365,-2386282.1083801,8710047.84807365,0.0542810195842561,1,3.33810377621681
"27",3102,2,13823.1940970083,-4186282.1083801,5734047.84807365,-2286282.1083801,8710047.84807365,0.0542810195842561,1,3.33810377621681
"28",3102,3,4511.14073934593,-4186282.1083801,5734047.84807365,-2186282.1083801,8710047.84807365,0.0542810195842561,1,3.33810377621681
"29",3102,4,4511.14073934948,-4186282.1083801,5734047.84807365,-2086282.1083801,8710047.84807365,0.0542810195842561,1,3.33810377621681
"30",3102,5,4511.14073934036,-4186282.1083801,5734047.84807365,-1986282.1083801,8710047.84807365,0.0542810195842561,1,3.33810377621681
"31",3265,1,5179.28478997359,-4686282.1083801,5610047.84807365,-2386282.1083801,8710047.84807365,0.0542810195842561,1,3.15737725028493
"32",3265,2,5484.85270659049,-4686282.1083801,5610047.84807365,-2286282.1083801,8710047.84807365,0.0542810195842561,1,3.15737725028493
"33",3265,3,15244.2015155702,-4686282.1083801,5610047.84807365,-2186282.1083801,8710047.84807365,0.0542810195842561,1,3.15737725028493
"34",3265,4,17811.8194512113,-4686282.1083801,5610047.84807365,-2086282.1083801,8710047.84807365,0.0542810195842561,1,3.15737725028493
"35",3265,5,15244.2015156518,-4686282.1083801,5610047.84807365,-1986282.1083801,8710047.84807365,0.0542810195842561,1,3.15737725028493
"36",3267,1,13301.802553001,-4486282.1083801,5610047.84807365,-2386282.1083801,8710047.84807365,0.0542810195842561,1,3.22906195633633
"37",3267,2,13413.7808820773,-4486282.1083801,5610047.84807365,-2286282.1083801,8710047.84807365,0.0542810195842561,1,3.22906195633633
"38",3267,3,4918.18289443599,-4486282.1083801,5610047.84807365,-2186282.1083801,8710047.84807365,0.0542810195842561,1,3.22906195633633
"39",3267,4,4655.77824845626,-4486282.1083801,5610047.84807365,-2086282.1083801,8710047.84807365,0.0542810195842561,1,3.22906195633633
"40",3267,5,4918.18289443322,-4486282.1083801,5610047.84807365,-1986282.1083801,8710047.84807365,0.0542810195842561,1,3.22906195633633
"41",3270,1,9721.01286384311,-4186282.1083801,5610047.84807365,-2386282.1083801,8710047.84807365,0.0542810195842561,1,3.33810377621681
"42",3270,2,11047.2202618076,-4186282.1083801,5610047.84807365,-2286282.1083801,8710047.84807365,0.0542810195842561,1,3.33810377621681
"43",3270,3,6576.48655392133,-4186282.1083801,5610047.84807365,-2186282.1083801,8710047.84807365,0.0542810195842561,1,3.33810377621681
"44",3270,4,8905.9097255167,-4186282.1083801,5610047.84807365,-2086282.1083801,8710047.84807365,0.0542810195842561,1,3.33810377621681
"45",3270,5,6576.486554027,-4186282.1083801,5610047.84807365,-1986282.1083801,8710047.84807365,0.0542810195842561,1,3.33810377621681
"46",3436,1,10335.8061774178,-4986282.1083801,5486047.84807365,-2386282.1083801,8710047.84807365,0.197710590099119,1,3.5047877491521
"47",3436,2,9759.35165490485,-4986282.1083801,5486047.84807365,-2286282.1083801,8710047.84807365,0.197710590099119,1,3.5047877491521
"48",3436,3,7911.60625115668,-4986282.1083801,5486047.84807365,-2186282.1083801,8710047.84807365,0.197710590099119,1,3.5047877491521
"49",3436,4,9210.66974249824,-4986282.1083801,5486047.84807365,-2086282.1083801,8710047.84807365,0.197710590099119,1,3.5047877491521
"50",3436,5,7911.60625124885,-4986282.1083801,5486047.84807365,-1986282.1083801,8710047.84807365,0.197710590099119,1,3.5047877491521
"51",3437,1,15943.0382220501,-4886282.1083801,5486047.84807365,-2386282.1083801,8710047.84807365,0.229544445590091,1,3.70957403810869
"52",3437,2,9759.35165486043,-4886282.1083801,5486047.84807365,-2286282.1083801,8710047.84807365,0.229544445590091,1,3.70957403810869
"53",3437,3,9210.6697424963,-4886282.1083801,5486047.84807365,-2186282.1083801,8710047.84807365,0.229544445590091,1,3.70957403810869
"54",3437,4,5689.71593755733,-4886282.1083801,5486047.84807365,-2086282.1083801,8710047.84807365,0.229544445590091,1,3.70957403810869
"55",3437,5,9210.66974246159,-4886282.1083801,5486047.84807365,-1986282.1083801,8710047.84807365,0.229544445590091,1,3.70957403810869
"56",3440,1,13301.8025529685,-4186282.1083801,5486047.84807365,-2386282.1083801,8710047.84807365,0.0542810195842561,1,3.25138242215338
"57",3440,2,13413.7808821029,-4186282.1083801,5486047.84807365,-2286282.1083801,8710047.84807365,0.0542810195842561,1,3.25138242215338
"58",3440,3,4918.18289440218,-4186282.1083801,5486047.84807365,-2186282.1083801,8710047.84807365,0.0542810195842561,1,3.25138242215338
"59",3440,4,4655.77824846714,-4186282.1083801,5486047.84807365,-2086282.1083801,8710047.84807365,0.0542810195842561,1,3.25138242215338
"60",3440,5,4918.18289439942,-4186282.1083801,5486047.84807365,-1986282.1083801,8710047.84807365,0.0542810195842561,1,3.25138242215338
"61",3606,1,16863.4420455056,-4886282.1083801,5362047.84807365,-2386282.1083801,8710047.84807365,0.31455718643818,1,3.58840428887018
"62",3606,2,11047.2202618784,-4886282.1083801,5362047.84807365,-2286282.1083801,8710047.84807365,0.31455718643818,1,3.58840428887018
"63",3606,3,8275.45348827172,-4886282.1083801,5362047.84807365,-2186282.1083801,8710047.84807365,0.31455718643818,1,3.58840428887018
"64",3606,4,4196.14245433723,-4886282.1083801,5362047.84807365,-2086282.1083801,8710047.84807365,0.31455718643818,1,3.58840428887018
"65",3606,5,8275.45348821027,-4886282.1083801,5362047.84807365,-1986282.1083801,8710047.84807365,0.31455718643818,1,3.58840428887018
"66",1,361,5079.58874367564,-2386282.1083801,8710047.84807365,1113717.8916199,7842047.84807365,0.471728891925041,1,3.55003606746498
"67",1,483,14449.9212082117,-2386282.1083801,8710047.84807365,813717.891619898,7718047.84807365,0.451997137049208,1,3.51734520759854
"68",1,727,8302.14987315338,-2386282.1083801,8710047.84807365,9913717.8916199,7594047.84807365,0.257080511668882,1,4.0370334282703
"69",1,1591,13480.5797911135,-2386282.1083801,8710047.84807365,-10686282.1083801,6850047.84807365,0.451997137049208,1,3.76791332659398
"70",1,1753,12997.7793709695,-2386282.1083801,8710047.84807365,-9186282.1083801,6726047.84807365,0.451997137049208,1,3.4193703976521
"71",1,1900,6198.48058893938,-2386282.1083801,8710047.84807365,-10486282.1083801,6602047.84807365,0.451997137049208,1,3.49503882860692
"72",1,1901,5730.15974636511,-2386282.1083801,8710047.84807365,-10386282.1083801,6602047.84807365,0.451997137049208,1,3.67309569621398
"73",1,1902,6198.48058879049,-2386282.1083801,8710047.84807365,-10286282.1083801,6602047.84807365,0.451997137049208,1,3.82637106285035
"74",1,2051,4519.47710640518,-2386282.1083801,8710047.84807365,-9386282.1083801,6478047.84807365,0.451997137049208,1,3.64080968243115
"75",1,2052,13480.5797910616,-2386282.1083801,8710047.84807365,-9286282.1083801,6478047.84807365,0.451997137049208,1,3.64080968243115
"76",1,2198,15283.3997396443,-2386282.1083801,8710047.84807365,-11486282.1083801,6354047.84807365,0.171465276452009,1,3.43037263190111
"77",1,2199,5730.15974624675,-2386282.1083801,8710047.84807365,-9386282.1083801,6354047.84807365,0.451997137049208,1,3.64080968243115
"78",1,2356,7711.39669603114,-2386282.1083801,8710047.84807365,11513717.8916199,6354047.84807365,0.352166794636731,1,3.80555146474948
"79",1,2361,6198.48058881898,-2386282.1083801,8710047.84807365,-9686282.1083801,6230047.84807365,0.451997137049208,1,3.71001078106629
"80",1,2362,13586.0417355353,-2386282.1083801,8710047.84807365,-9586282.1083801,6230047.84807365,0.451997137049208,1,3.49807008223629
"81",1,2363,6748.87322943872,-2386282.1083801,8710047.84807365,-9486282.1083801,6230047.84807365,0.451997137049208,1,3.49807008223629
"82",1,2531,9721.0128638669,-2386282.1083801,8710047.84807365,-9686282.1083801,6106047.84807365,0.451997137049208,1,3.71001078106629
"83",1,2932,11126.1571525279,-2386282.1083801,8710047.84807365,-4186282.1083801,5858047.84807365,0.376357559280505,1,3.66356337985799
"84",1,3048,11793.8296448782,-2386282.1083801,8710047.84807365,11813717.8916199,5858047.84807365,0.0084831039385479,1,2.96828536177005
"85",1,3097,7411.10711328752,-2386282.1083801,8710047.84807365,-4786282.1083801,5734047.84807365,0.376357559280505,1,3.16293639911972
"86",1,3439,5079.58874355577,-2386282.1083801,8710047.84807365,-4286282.1083801,5486047.84807365,0.376357559280505,1,3.37212542684302
"87",1,3554,15943.0382222313,-2386282.1083801,8710047.84807365,12013717.8916199,5486047.84807365,0.171465276452009,1,3.98316495311019
"88",1,3717,7711.3966959961,-2386282.1083801,8710047.84807365,11913717.8916199,5362047.84807365,0.0084831039385479,1,3.01579909240047
"89",1,5275,5079.58874355442,-2386282.1083801,8710047.84807365,-1586282.1083801,3998047.84807365,0.530631181388248,1,4.04353000154021
"90",1,5838,9260.89492011547,-2386282.1083801,8710047.84807365,11213717.8916199,3626047.84807365,0.180796303057171,1,3.34839714625088
