"","V1","rich"
"989",6868,10
"990",6889,10
"991",6924,10
"992",6925,10
"993",6926,10
"994",6928,10
"995",6929,10
"996",6930,10
"997",6931,10
"998",6958,10
"999",6979,10
"1000",7003,10
"1001",7019,10
"1002",7020,10
"1003",7021,10
"1004",7022,10
"1005",7026,10
"1006",7030,10
"1007",7031,10
"1008",7056,10
"1009",7057,10
"1010",7058,10
"1011",7129,10
"1012",7143,10
"1013",7145,10
"1014",7146,10
"1015",7153,10
"1016",7168,10
"1017",7188,10
"1018",7262,10
"1019",7263,10
"1020",7264,10
"1021",7265,10
"1022",7266,10
"1023",7267,10
"1024",7268,10
"1025",7274,10
"1026",7297,10
"1027",7401,10
"1028",7407,10
"1029",7408,10
"1030",7412,10
"1031",7413,10
"1032",7479,10
"1033",8070,10
"1034",9641,10
"1035",9963,10
"1036",10042,10
"1037",10044,10
"1038",10138,10
"1039",10649,10
"1040",10692,10
"1041",11348,10
"1042",11475,10
"1043",11536,10
"1044",11717,10
"1045",11788,10
"1046",11790,10
"1047",11791,10
"1048",11795,10
"1049",11811,10
"1050",11860,10
"1051",11863,10
"1052",11905,10
"1053",11920,10
"1054",12016,10
"1055",12037,10
"1056",12039,10
"1057",12050,10
"1058",219,11
"1059",223,11
"1060",224,11
"1061",225,11
"1062",226,11
"1063",237,11
"1064",317,11
"1065",319,11
"1066",370,11
"1067",376,11
"1068",419,11
"1069",903,11
"1070",1473,11
"1071",1478,11
"1072",1783,11
"1073",1894,11
"1074",2045,11
"1075",2048,11
"1076",2419,11
"1077",2587,11
"1078",2589,11
"1079",2761,11
"1080",4453,11
"1081",4454,11
"1082",4456,11
"1083",4457,11
"1084",4600,11
"1085",4634,11
"1086",4785,11
"1087",4786,11
"1088",4788,11
"1089",4790,11
"1090",4920,11
"1091",4936,11
"1092",5010,11
"1093",5084,11
"1094",5212,11
"1095",5458,11
"1096",5526,11
"1097",5579,11
"1098",5580,11
"1099",5592,11
"1100",5594,11
"1101",5611,11
"1102",5612,11
"1103",5613,11
"1104",5636,11
"1105",5639,11
"1106",5656,11
"1107",5734,11
"1108",5735,11
"1109",5737,11
"1110",5738,11
"1111",5747,11
"1112",5763,11
"1113",5765,11
"1114",5766,11
"1115",5806,11
"1116",5879,11
"1117",5882,11
"1118",5883,11
"1119",5884,11
"1120",5885,11
"1121",5887,11
"1122",5890,11
"1123",5892,11
"1124",5895,11
"1125",5900,11
"1126",5901,11
"1127",5915,11
"1128",5916,11
"1129",6021,11
"1130",6028,11
"1131",6032,11
"1132",6033,11
"1133",6034,11
"1134",6036,11
"1135",6037,11
"1136",6041,11
"1137",6042,11
"1138",6043,11
"1139",6052,11
"1140",6053,11
"1141",6072,11
"1142",6182,11
