"From.id","From.OriginalRow","From.x","From.y","To.id","To.OriginalRow","To.x","To.y","BetaSim","Sorenson","MNTD"
"127",10148,15913717.8916199,-1209952.15192635,"8",12052,12213717.8916199,-4185952.15192635,0.206148153750354,1,5.09836754910879
"128",9760,15413717.8916199,-713952.15192635,"8",12052,12213717.8916199,-4185952.15192635,0.206148153750354,1,4.59498594950318
"129",9961,15813717.8916199,-961952.15192635,"8",12052,12213717.8916199,-4185952.15192635,0.206148153750354,1,3.82827269203184
"130",9552,14513717.8916199,-465952.15192635,"8",12052,12213717.8916199,-4185952.15192635,0.174162114497638,1,3.88902477103603
"131",10545,12213717.8916199,-1829952.15192635,"8",12052,12213717.8916199,-4185952.15192635,0.206148153750354,1,4.98335263335681
"132",2356,11513717.8916199,6354047.84807365,"8",12052,12213717.8916199,-4185952.15192635,0.456114111989385,1,5.24539334619392
"133",361,1113717.8916199,7842047.84807365,"8",12052,12213717.8916199,-4185952.15192635,0.456114111989385,1,4.96171783884954
"134",483,813717.891619898,7718047.84807365,"8",12052,12213717.8916199,-4185952.15192635,0.456114111989385,1,5.43080703575702
"135",1591,-10686282.1083801,6850047.84807365,"8",12052,12213717.8916199,-4185952.15192635,0.456114111989385,1,5.06092775998158
"136",3554,12013717.8916199,5486047.84807365,"8",12052,12213717.8916199,-4185952.15192635,0.456114111989385,1,5.87435102732451
"137",3717,11913717.8916199,5362047.84807365,"8",12052,12213717.8916199,-4185952.15192635,0.206148153750354,1,4.82850286571027
"138",3048,11813717.8916199,5858047.84807365,"8",12052,12213717.8916199,-4185952.15192635,0.456114111989385,1,5.00644011670747
"139",6837,11113717.8916199,2758047.84807365,"8",12052,12213717.8916199,-4185952.15192635,0.206148153750354,1,4.65838247893342
"140",5838,11213717.8916199,3626047.84807365,"8",12052,12213717.8916199,-4185952.15192635,0.206148153750354,1,4.9067468733119
"141",2198,-11486282.1083801,6354047.84807365,"8",12052,12213717.8916199,-4185952.15192635,0.456114111989385,1,5.86822234155002
"143",1,-2386282.1083801,8710047.84807365,"8",12052,12213717.8916199,-4185952.15192635,0.456114111989385,1,4.55551847065098
"143",2,-2286282.1083801,8710047.84807365,"8",12052,12213717.8916199,-4185952.15192635,0.456114111989385,1,4.55551847065098
"143",3,-2186282.1083801,8710047.84807365,"8",12052,12213717.8916199,-4185952.15192635,0.456114111989385,1,4.55551847065098
"143",4,-2086282.1083801,8710047.84807365,"8",12052,12213717.8916199,-4185952.15192635,0.456114111989385,1,4.55551847065098
"143",5,-1986282.1083801,8710047.84807365,"8",12052,12213717.8916199,-4185952.15192635,0.456114111989385,1,4.55551847065098
"143",7,-1786282.1083801,8710047.84807365,"8",12052,12213717.8916199,-4185952.15192635,0.456114111989385,1,4.55551847065098
"143",10,-1486282.1083801,8710047.84807365,"8",12052,12213717.8916199,-4185952.15192635,0.456114111989385,1,4.55551847065098
"143",12,-1286282.1083801,8710047.84807365,"8",12052,12213717.8916199,-4185952.15192635,0.456114111989385,1,4.55551847065098
"143",13,-1186282.1083801,8710047.84807365,"8",12052,12213717.8916199,-4185952.15192635,0.456114111989385,1,4.55551847065098
"143",20,-3086282.1083801,8586047.84807365,"8",12052,12213717.8916199,-4185952.15192635,0.456114111989385,1,4.55551847065098
"143",25,-2586282.1083801,8586047.84807365,"8",12052,12213717.8916199,-4185952.15192635,0.456114111989385,1,4.55551847065098
"143",26,-2486282.1083801,8586047.84807365,"8",12052,12213717.8916199,-4185952.15192635,0.456114111989385,1,4.55551847065098
"143",32,-1886282.1083801,8586047.84807365,"8",12052,12213717.8916199,-4185952.15192635,0.456114111989385,1,4.55551847065098
"143",38,-1286282.1083801,8586047.84807365,"8",12052,12213717.8916199,-4185952.15192635,0.456114111989385,1,4.55551847065098
"143",45,-586282.108380102,8586047.84807365,"8",12052,12213717.8916199,-4185952.15192635,0.456114111989385,1,4.55551847065098
"143",46,-486282.108380102,8586047.84807365,"8",12052,12213717.8916199,-4185952.15192635,0.456114111989385,1,4.55551847065098
"143",47,-386282.108380102,8586047.84807365,"8",12052,12213717.8916199,-4185952.15192635,0.456114111989385,1,4.55551847065098
"143",60,-3886282.1083801,8462047.84807365,"8",12052,12213717.8916199,-4185952.15192635,0.456114111989385,1,4.55551847065098
"143",70,-2686282.1083801,8462047.84807365,"8",12052,12213717.8916199,-4185952.15192635,0.456114111989385,1,4.55551847065098
"143",71,-2586282.1083801,8462047.84807365,"8",12052,12213717.8916199,-4185952.15192635,0.456114111989385,1,4.55551847065098
