"IUCN.binomial" "AllGeogRange" "Body.mass.g" "LitSz" "AdultHeadBodyLen.mm" "GestLen.d" "LitPerYear" "SocGrpSz" "WeanAge.d" "SMA.d" "NeonateBodyMass.g" "MaxLifepsan.m" "PopDen.n.km2" "brain.mass.g" "IBI.d"
"Abrothrix_illuteus" 69947 47.79 2.90118519199774 113.254329645195 29.476148944834 2.33473629072264 1.00695555005672 23.5419953568736 110.586170013985 3.98127398584749 34.7658238379057 1298.53576681556 1.08613113662166 53.1621890318265
"Abrothrix_jelskii" 607913 34.5 3.70048252639367 104.129850423781 24.6182370709584 2.94423616323415 1.03526492384138 25.5366558707176 79.1555466922676 2.31976806779948 42.0201978621649 202.797159322804 0.781227121375189 33.7696482709619
"Abrothrix_lanosus" 146238 27.83 2.19614756529114 100.353797616876 34.1716918743873 1.82773120902656 1 66.0816216452414 299.61673484857 1.05510187756852 44.0145573509996 106.031100939971 0.737673904942998 160.581850179432
"Abrothrix_longipilis" 750578 38.86 3.7 113.448214143724 22.2095242904828 2.5 1.09302689482348 18.351172130455 51.73 3.29 32.047994734227 2777.2 0.796342811164539 17
"Abrothrix_markhami" 158 30 3.76253819873373 100.439956412725 26.9718258183403 2.55578679319977 1.29631239880669 23.4846471420885 70.8398651260007 2.23050336172242 39.7649057642946 1084.92484427428 0.707461818242391 34.2450420886793
"Abrothrix_olivaceus" 10397 24.52 5.34 96.69 27.2978013860821 2 1.03392949654841 24.85038147556 170.38 1.51943458951103 12 3211.81 0.60491881934543 94.2412553594053
"Abrothrix_sanborni" 84957.9999999999 24.7 2.08562131098555 96.3887153147448 35.2484036664736 1.76965028852289 1 67.8203570855388 285.160977026504 1.01061794014317 43.8037830985112 113.343511660364 0.706461752094761 164.957824778023
"Acerodon_celebensis" 169512 384.84 0.98 201.25 139.01254886085 1.8854178300128 37.949085855677 103.072822389975 457.303690076383 34.1991854238281 183.441149749492 39.4331008778986 5.88415900251478 195.219534746283
"Acerodon_humilis" 18378 87.6940047740974 2.04299507035675 145.864525472816 45.5457448820981 0.995772566995893 2.7941422267167 37.161878457716 227.87560388923 6.19872865378992 83.9323798389963 1091.6672910699 1.23303034734041 265.301667453446
"Acerodon_jubatus" 277324 1087.04 1 345.526194489362 157.190218858608 1 1000 142.060796226041 1102.4734997276 115.629654392683 308.673762931352 35.7340556556711 30.9152123351555 389.559626199297
"Acerodon_leucotis" 12476 90.0701082928465 3.06200436324412 143.364607612203 34.1769713688385 1.13382412121691 1.18202817765211 31.7555053573116 190.585893990674 4.42811116207036 46.9945840387107 1807.05449718851 1.34182932899765 243.664682582366
"Acerodon_mackloti" 7386.00000000001 467.93 0.98 201.851534062889 135.535277244177 2 500 121.388914470424 459.577043086306 36.0868390704542 175.96067356904 92.1621228384544 5.01555053088873 202.333923441451
"Acinonyx_jubatus" 9471816.99999999 50577.92 3.28 1480.43 92.24 0.65 1 91.42 741.97 441.66 228 0.01 94.8915 547.5
"Acomys_airensis" 6878250 11.4525463375487 0.999058665157293 51.5546419066638 117.359854118327 1.00406288229992 560.782826377533 60.3779778568579 441.512562237545 2.78334975351725 185.560034573073 237.645044431352 0.288411568460819 323.537193138466
"Acomys_cahirinus" 6878250 41.16 2.43 119.028760167306 38.54 7.6 1.86534198795772 14 51.9 5.49 60 2366.22 0.65 34
"Acomys_cineraceus" 305434.600691028 17.7258475106082 5.96879558702588 84.74 21.7179657348956 1.90083599633982 1 73.97899610799 269.783951105251 0.126966326879013 48.6715325592938 126.363881114929 0.606667378157841 162.297175253842
"Acomys_dimidiatus" 6878250 11.4525463375487 0.999058665157293 51.5546419066638 117.359854118327 1.00406288229992 560.782826377533 60.3779778568579 441.512562237545 2.78334975351725 185.560034573073 237.645044431352 0.288411568460819 323.537193138466
"Acomys_ignitus" 422872 24 2.59793624738806 97.9696523058825 27.2006653162053 1.79884963527333 1 67.0836229414113 283.129222869928 0.683311165643081 43.1044585931225 119.244995824281 0.674916222744037 165.502592675944
"Acomys_johannis" 212036.07932732 75.8486000862997 3.46648055657894 144.208116365696 31.442981751762 1.00223392701823 1.01395947979003 69.7687783457786 355.322088565329 2.18506731649405 59.3212946881111 89.8858936745155 1.64166442765643 344.508721370783
"Acomys_kempi" 472195 21.99 5.21280372114499 92.9174637027347 23.1281370168334 1.85811626990647 1 63.795691610918 278.547039901426 0.294525010975901 54.1605072682648 85.4425946485508 0.647791778858475 179.131156367213
"Acomys_louisae" 77348.0000000001 20.19 4.27349164035335 97.856614834034 29.6894999291748 1 1.03388344273197 66.7566936218793 338.86346555189 0.328735722119801 36.5819314828877 242.668951594903 0.519467693769117 337.092548427384
"Acomys_minous" 8187 62.5 2.22368037247869 125.378986915632 32.8948339901369 1.99357520665629 1.02932548375428 28.1719130662201 154.917458154044 5.00706317665387 39.3398775046981 1897.47797555271 1.20445512921146 111.192572647703
"Acomys_mullah" 212036.07932732 75.8486000862997 3.46648055657894 144.208116365696 31.442981751762 1.00223392701823 1.01395947979003 69.7687783457786 355.322088565329 2.18506731649405 59.3212946881111 89.8858936745155 1.64166442765643 344.508721370783
"Acomys_nesiotes" 9137.00000000001 67.5387858132523 2.16284059497278 127.020972513163 33.8519559459996 2.00453974574267 1.04492435114409 27.4944007365347 160.746441571171 5.34901798941602 39.5273401093757 1770.96307261003 1.19849924507771 106.873852991446
