	IUCN.binomial	PD.Ref	Marine.Ref	M.M.P	IUCN.Order	ORD	Order	IUCN.Family	FAM	Family	IUCN.Genus	IUCN.Species	Common.names	Listed	Red.List.status	B.species	Population.trend	Island	TrophicDetail	TrophicDetail.Reduced	TrophicD	TrophicP	DietBreadth	TerrestrialityD	TerrestrialityP	HabMode	HabitatBreadth	ActivCycle	BodyMass.g	logBodyMass	AdultForearmLen.mm	logAdultForearmLen	AdultHeadBodyLen.mm	logAdultHeadBodyLen	AllGeogRange	logAllGeogRange	Current.GR	HomeRange.km2	logHomeRange	HomeRange.Indiv.km2	logHomeRange.Indiv.km2	PopDen.n.km2	logPopDen	SocGrpSz	logSocGrpSz	social	PopGrpSz	logPopGrpSz	SMA.d	logSMA	AgeatFirstBirth.d	logAgeFirstBirth	IBI.d	logIBI	LitSz	logLitSz	LitPerYear	logLitPerYear	TeatNo	logTeatNo	GestLen.d	logGestLen	NeonateBodyMass.g	logNeonateBodyMass	NeonateHeadBodyLen.mm	logNeonateHeadBodyLen.mm	AgeEyeOpen.d	WeanAge.d	logWeanAge	WeanBodyMass.g	logWeanBodyMass	logWeaningHeadBodyLen.mm	DispersAge.d	logDispersAge.d	MaxLifepsan.m	logMaxLifespan.m	P	BasalMetRate.mLO2hr	logBasalMetRate	BMR.lO2.hr	kcal.day	BMR.watts	logBMR.watts	BasalMetRateMass.g	brain.mass.g	logbrain.mass.g	GR.Area.km2	GR.MaxLat.dd	GR.MinLat.dd	GR.MidRangeLat.dd	GR.MaxLong.dd	GR.MinLong.dd	GR.MidRangeLong.dd	HuPopDen.Min.n.km2	HuPopDen.Mean.n.km2	HuPopDen.5p.n.km2	HuPopDen.Change	Precip.Mean.mm	logMeanPrecip	Temp.Mean.01degC	AET.Mean.mm	logAET	PET.Mean.mm	logPET	Freshwater	Coastal	Oceanic	births.on.land	All.Habitat	threatened.by.fishing.bycatch.	threatened.by.direct.hunting	threatened.by.pollution.	threatened.by.invasives.	threatened.by.development.dams.human.intrusion.	threatened.by.climate.change	All.threats	MedianNPPgC.m.2r	logMedianNPP	MinNPPgC.m.2r	MaxNPPgC.m.2r	MeanNPPgC.m.2r	StdNPP	MedianNPPgC.m.2r.1	Min.HII	Max.HII	Mean.HII	StdHII	MedianHII	logLSPop	logNPP	logDHI_CV	logMinimumFpar	logTotalAnnualFpar	Velocity	logVelocity	logLights2006	logGlob	GPP	LSPop	NPP	DHI_CV	MinimumFpar	TotalAnnualFpar	Lights2006	Glob
885	Crocidura_negligens	5405	NA	Placental	EULIPOTYPHLA	SOR	Soricomorpha	SORICIDAE	SOR	Soricidae	Crocidura	negligens	Peninsular_Shrew	0	LC	NA	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	178680	5.252075944	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.118229727	4.096336105	-0.997605123	1.734522204	3.217095006	0.589581145	-0.229456414	0.85345067	1.602059991	19729.69453	131.2894193	5794.379069	0.100552964	54.26529941	1648.522983	7.135931461	40
886	Crocidura_nicobarica	5407	NA	Placental	EULIPOTYPHLA	SOR	Soricomorpha	SORICIDAE	SOR	Soricidae	Crocidura	nicobarica	Nicobar_Shrew_Nicobar_White_tailed_Shrew	1	CR	B	decreasing	I	NA	NA	car	3	2	T	NA	NA	NA	NA	28.9	1.460897843	NA	NA	100	2	1023	3.009875634	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	0.477121255	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	973.63	7.23	6.74	6.99	93.95	93.65	93.8	14	14	14	0.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.255984246	4.162491588	-1.036298389	1.782678796	3.280069817	1.179254728	0.071607626	NA	1.602059991	28417.9633	7.603080894	13761.46365	0.093799816	57.59457145	1830.446255	0.037957966	40
888	Crocidura_nigripes	5410	NA	Placental	EULIPOTYPHLA	SOR	Soricomorpha	SORICIDAE	SOR	Soricidae	Crocidura	nigripes	Black_footed_Shrew	0	LC	NA	unknown	C	Ginsect	Insect	car	3	NA	T	NA	ter	NA	NA	13.2	1.120573931	NA	NA	NA	NA	72010	4.857392811	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	73630.86	1.75	-2.94	-0.59	125.24	119.28	122.26	17	73.81	17	0.1	221.77	2.345902796	204.87	1815.53	3.25900343	1864.53	3.270569375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	123.41	2.091350352	74.1	1994.3	1221.17	74.1	1234.1	0	560	141.794	65.4005	140	1.804090831	4.209141754	-1.050428696	1.756913512	3.224686946	0.179636496	-0.745605425	-0.452879282	1.602059991	22983.92485	63.69287176	6722.745974	0.089037161	57.13648398	1677.594316	0.352468831	40
895	Crocidura_palawanensis	5418	NA	Placental	EULIPOTYPHLA	SOR	Soricomorpha	SORICIDAE	SOR	Soricidae	Crocidura	palawanensis	Palawan_Shrew	0	LC	NA	unknown	I	NA	NA	NA	NA	NA	T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11608	4.064757399	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11562.34	11.42	8.32	9.87	119.71	117.17	118.44	22	42.93	22	0.21	224	2.350248018	249.78	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	170.4	2.23146959	124	2011.3	1524.64	124	1704	40	270	158.88	28.5612	140	2.085668385	4.532327966	-0.876865072	1.486778634	2.989756993	0.309665654	-0.509106961	-1.086790019	1.602059991	24930.17751	121.8059167	8252.434998	0.132780692	30.6745806	976.6905671	0.081886061	40
896	Crocidura_paradoxura	5419	NA	Placental	EULIPOTYPHLA	SOR	Soricomorpha	SORICIDAE	SOR	Soricidae	Crocidura	paradoxura	Sumatran_Long_tailed_Shrew_Paradox_Shrew	0	LC	NA	decreasing	I	NA	NA	NA	NA	NA	T	NA	NA	NA	NA	8.23	0.915399835	NA	NA	NA	NA	5430	3.73479983	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6689.37	-0.3	-1.31	-0.8	101.15	100.56	100.85	30	78.33	30	0.04	298.66	2.475177061	226.66	1651.32	3.217831241	1827.31	3.261812231	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	116.72	2.067145279	285.1	1442.6	1145.9	285.1	1167.2	10	500	173.095	50.4408	170	1.759456438	3.971309235	-1.019496804	1.794378455	3.272989641	0.178168428	-0.749169252	-0.423019967	1.602059991	24334.4063	57.47201679	8287.276936	0.095609973	62.28428092	1874.949785	0.377554832	40
900	Crocidura_picea	5424	NA	Placental	EULIPOTYPHLA	SOR	Soricomorpha	SORICIDAE	SOR	Soricidae	Crocidura	picea	Cameroonian_Shrew_Pitch_Shrew	1	EN	B	decreasing	C	NA	NA	car	3	NA	T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6922	3.840231595	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	413.32	6.35	6.14	6.25	9.62	9.42	9.52	50	51.5	50	0.07	216.5	2.335457901	221.5	1235.5	3.09184275	1525	3.183269844	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.019143595	3.88564743	-0.705712632	1.609795815	3.169477037	0.1680453	-0.77457363	-1.481620133	1.602059991	16339.7487	104.5065702	7415.707733	0.196918885	40.71887916	1477.328366	0.032989814	40
904	Crocidura_rhoditis	5434	NA	Placental	EULIPOTYPHLA	SOR	Soricomorpha	SORICIDAE	SOR	Soricidae	Crocidura	rhoditis	Sulawesi_White_handed_Shrew_Temboan_Shrew	0	LC	NA	unknown	I	NA	NA	NA	NA	NA	T	NA	NA	NA	NA	14	1.146128036	NA	NA	NA	NA	111279	5.046413214	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97134.65	1.35	-5.54	-2.09	123.74	118.85	121.29	17	83.61	19	0.08	222.87	2.348051613	208.96	1815.09	3.258898164	1902.82	3.279397708	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	122.47	2.088029718	60	1994.3	1192.13	60	1224.7	0	560	161.017	71.0232	170	1.901368243	4.170206513	-0.986958068	1.735887928	3.217746295	0.231424101	-0.635591415	-0.47658413	1.602059991	22460.6969	79.6834708	7339.144923	0.103048561	54.43621592	1650.997043	0.333745847	40
916	Crocidura_tanakae	5446	NA	Placental	EULIPOTYPHLA	SOR	Soricomorpha	SORICIDAE	SOR	Soricidae	Crocidura	tanakae	Taiwanese_Gray_Shrew	0	LC	NA	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36021	4.556555765	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36065.98	25.29	21.9	23.6	122	120.04	121.02	70	676.6	73	0.03	160.5	2.205475037	165.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	99.77	1.998999972	60.6	1882.2	1007.8	60.6	997.7	80	640	277.034	146.279	220	2.658084167	4.445058545	-0.670414654	1.452768774	3.061375141	0.341657553	-0.466408974	1.461784005	1.602059991	20556.20754	455.0762466	9166.104029	0.213592179	28.36408475	1151.794874	28.95902959	40
924	Crocidura_trichura	5455	NA	Placental	EULIPOTYPHLA	SOR	Soricomorpha	SORICIDAE	SOR	Soricidae	Crocidura	trichura	Christmas_Island_Shrew	1	CR	B	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1156	3.062957834	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	138.04	-10.41	-10.57	-10.49	105.71	105.53	105.62	14	14	14	0.07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.367848555	4.486074423	-0.915371124	1.616297364	3.112494931	0.120758131	-0.918083617	1.029418444	2.322219295	33538.46406	701.7241966	14513.35753	0.118795464	39.53496926	1247.460718	22.78493658	40
925	Crocidura_turba	5456	NA	Placental	EULIPOTYPHLA	SOR	Soricomorpha	SORICIDAE	SOR	Soricidae	Crocidura	turba	Tumultuous_Shrew_Turbo_Shrew	0	LC	NA	unknown	C	Ginsect	Insect	car	3	NA	T	NA	ter	NA	NA	14.49	1.161068385	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0.301029996	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4351979.87	8.74	-16.99	-4.12	39.37	10.98	25.18	0	30.8	2	0.17	100.26	2.0011277	222.73	1001.6	3.000694316	1492.3	3.173856139	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.538709525	4.022827614	-0.718249968	1.626506019	3.158180888	0.863488644	-0.06374337	-0.847764887	1.602059991	18335.13343	34.57080757	9057.794899	0.191315445	42.31613748	1439.397977	0.141982596	40
934	Crocidura_wuchihensis	5466	NA	Placental	EULIPOTYPHLA	SOR	Soricomorpha	SORICIDAE	SOR	Soricidae	Crocidura	wuchihensis	Hainan_Island_Shrew	NA	DD	NA	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	599959	5.778121573	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.847668417	4.019412924	-0.780620358	1.655426144	3.253930504	0.108329121	-0.965254781	-0.163952226	1.602059991	23977.76847	70.41552431	10456.55426	0.1657218	45.22995374	1794.446454	0.685563637	40
967	Cryptotis_colombiana	5475	NA	Placental	EULIPOTYPHLA	SOR	Soricomorpha	SORICIDAE	SOR	Soricidae	Cryptotis	colombiana	Colombian_Small_eared_Shrew	0	LC	NA	stable	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	644	2.808885867	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	139.15	2.143483211	653.8	1495.7	1344.54	653.8	1391.5	140	460	170.657	38.4433	170	2.444638969	4.087986071	-1.081026522	1.812371956	3.293986025	0.073145573	-1.135811954	1.020284256	1.602059991	22823.19089	278.3806014	11525.74116	0.082980009	64.91902012	1967.822966	10.47814142	40
968	Cryptotis_endersi	5476	NA	Placental	EULIPOTYPHLA	SOR	Soricomorpha	SORICIDAE	SOR	Soricidae	Cryptotis	endersi	Ender.s_Small_eared_Shrew_Enders_S_Small_eared_Shrew	1	EN	B	unknown	C	NA	NA	car	3	NA	T	NA	ter	NA	NA	8	0.903089987	NA	NA	NA	NA	257	2.409933123	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	335.8	8.92	8.73	8.83	-82.07	-82.25	-82.16	18	18	18	0	270	2.431363764	350	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.316004901	3.919086094	-0.849033354	1.719258435	3.253705425	0.093588385	-1.028778047	-0.019768568	1.602059991	21458.62626	20.7016471	7159.54956	0.141568505	52.39121073	1793.516702	0.95550163	40
970	Cryptotis_goodwini	5479	NA	Placental	EULIPOTYPHLA	SOR	Soricomorpha	SORICIDAE	SOR	Soricidae	Cryptotis	goodwini	Goodwin.s_Broad_clawed_Shrew_Goodwin.s_Small_Eared_Shrew_Goodwin.s_Small_eared_Shrew	0	LC	NA	stable	C	Ginsect	Insect	car	3	NA	T	1	ter	2	NA	7	0.84509804	NA	NA	94.91	1.977311973	37329	4.572046356	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	52453.87	17.29	14.13	15.71	-89	-93.56	-91.28	10	108.69	12	0.11	118.43	2.073461729	211.31	1372.95	3.137654721	1666.25	3.221740162	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	117.07	2.068445618	133.6	1804.7	1238.58	133.6	1170.7	140	600	251.055	72.9152	260	2.219553454	4.017281052	-0.809410875	1.662270752	3.201484747	0.125783272	-0.900377112	0.646960325	1.602059991	21702.47979	165.7881379	9995.927107	0.155091903	45.94843796	1590.320828	4.435681201	40
971	Cryptotis_gracilis	5480	NA	Placental	EULIPOTYPHLA	SOR	Soricomorpha	SORICIDAE	SOR	Soricidae	Cryptotis	gracilis	Talamancan_Small_Eared_Shrew_Talamancan_Small_eared_Shrew	1	VU	B	decreasing	C	NA	NA	car	3	NA	T	NA	ter	NA	NA	7	0.84509804	NA	NA	NA	NA	34523	4.538108528	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14725.54	10.52	8.64	9.58	-82.45	-84.87	-83.66	13	77.25	13	0.15	262.64	2.41936087	252.18	1370.2	3.136783963	1736.63	3.239707299	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.143793089	4.017527325	-0.868611836	1.736223213	3.252624336	0.073717406	-1.132429955	0.809896094	1.602059991	24705.37128	139.249322	9164.92741	0.135328156	54.47825812	1789.057651	6.454997732	40
972	Cryptotis_griseoventris	5481	NA	Placental	EULIPOTYPHLA	SOR	Soricomorpha	SORICIDAE	SOR	Soricidae	Cryptotis	griseoventris	Guatamalan_Small_Eared_Shrew	1	VU	B	decreasing	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1570	3.195899652	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.016820285	3.972373125	-0.778557462	1.622258631	3.180101538	0.139676635	-0.854876236	0.479134096	1.602059991	21531.01925	103.9489927	9310.978094	0.16651085	41.90430393	1513.91516	3.013936485	40
974	Cryptotis_mayensis	5484	NA	Placental	EULIPOTYPHLA	SOR	Soricomorpha	SORICIDAE	SOR	Soricidae	Cryptotis	mayensis	Yucatan_Small_eared_Shrew	0	LC	NA	decreasing	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	136395	5.13479845	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	109.59	2.039770927	35.6	1744.7	1050.3	35.6	1095.9	0	580	154.315	72.1537	140	1.262603753	4.048040617	-1.062414161	1.814089744	3.268731053	1.275778131	0.105775153	0.170775484	1.602059991	25484.008	18.30643395	9267.410844	0.08661355	65.1763062	1856.654321	1.48175187	40
975	Cryptotis_medellinia	5485	NA	Placental	EULIPOTYPHLA	SOR	Soricomorpha	SORICIDAE	SOR	Soricidae	Cryptotis	medellinia	Medellín_Small_eared_Shrew	0	LC	NA	stable	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	147376	5.168426765	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	305.2	1476.7	1134.91	305.2	1168.4	140	600	264.596	92.0534	250	1.925160021	4.05579856	-0.914528626	1.749543833	3.258629199	0.091184913	-1.040077012	0.689107482	1.602059991	21251.77059	84.17052211	10675.94476	0.121750674	56.17509724	1813.966234	4.887733091	40
976	Cryptotis_mera	5486	NA	Placental	EULIPOTYPHLA	SOR	Soricomorpha	SORICIDAE	SOR	Soricidae	Cryptotis	mera	Darien_Small_Eared_Shrew	1	EN	B	decreasing	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1779	3.250175948	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.175288052	3.976557241	-1.20286249	1.862003633	3.308571975	0.297539951	-0.526454713	-1.976346158	1.602059991	24758.54011	1.497228384	9363.754457	0.06268123	72.7785892	2035.03543	0.010559755	40
977	Cryptotis_meridensis	5487	NA	Placental	EULIPOTYPHLA	SOR	Soricomorpha	SORICIDAE	SOR	Soricidae	Cryptotis	meridensis	Merida_Small_eared_Shrew	0	LC	NA	stable	C	Ginsect	Insect	car	3	1	T	1	ter	2	NA	12.63	1.101403351	NA	NA	NA	NA	46579	4.66819016	NA	NA	NA	NA	NA	104.61	2.019573202	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27050.11	10.84	7.08	8.96	-66.23	-73.44	-69.84	7	166.15	8	0.09	104.67	2.019822224	209.91	1385.5	3.14160653	1688.58	3.227521641	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	127.75	2.106360909	90.3	1853.2	1191.93	90.3	1277.5	70	520	199.61	70.9105	180	1.756573113	4.010375411	-0.728643788	1.606760729	3.181103706	0.106444907	-0.972875113	0.613730525	1.602059991	20508.1374	57.09171819	9916.178856	0.186791114	40.43530551	1517.41267	4.108946867	40
978	Cryptotis_merriami	5488	NA	Placental	EULIPOTYPHLA	SOR	Soricomorpha	SORICIDAE	SOR	Soricidae	Cryptotis	merriami	Merriam.s_Small_eared_Shrew	0	LC	NA	stable	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	89552	4.95207529	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	109.19	2.038182866	19.4	1804.7	1204.44	19.4	1091.9	70	540	241.224	57.8603	220	1.854057092	4.035679471	-0.79778363	1.655812992	3.202392914	0.156646715	-0.805078708	0.154670293	1.602059991	22676.95113	71.45902597	10588.04633	0.159300218	45.27026037	1593.649879	1.427809585	40
979	Cryptotis_mexicana	5489	NA	Placental	EULIPOTYPHLA	SOR	Soricomorpha	SORICIDAE	SOR	Soricidae	Cryptotis	mexicana	Mexican_Small_eared_Shrew	0	LC	NA	decreasing	C	Ginsect	Insect	car	3	NA	T	1	ter	1	NA	7	0.84509804	NA	NA	60.99	1.785258633	128756	5.109767476	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.99	0.475671188	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	68045.83	20.81	16.5	18.65	-92.56	-98.35	-95.45	6	74.74	13.5	0.06	114.7	2.059563418	209.74	1154.8	3.062506775	1526.62	3.183730948	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	123.89	2.093036253	91.5	1993.9	1207.93	91.5	1238.9	20	600	195.248	81.3913	180	1.956122505	3.937830055	-0.685926779	1.574879355	3.147282461	0.153272266	-0.814536422	0.596941487	1.602059991	17774.89852	90.39044099	8025.004019	0.206097736	37.57330126	1403.726377	3.953133552	40
